System_ID,Nanostructure_Type,Dopant,Dopant_Count,Medium,Total Atoms,Adsorption_Site,Distance_A,HOMO_eV,LUMO_eV,Bandgap_eV,Mulliken_Charge_Dopant,Charge_Transfer_e,E_ads_DFT_eV,Recoverytime_sec,electronegativity_eV,chemical potential_eV,hardness_eV,electrophilicity index_eV
G-Cu1,Graphene_Cusheet,Cu,1,water,95,Top,1.97,-4.49,-2.16,2.33,0.326825,0.19894,-1.146,24300000.0,3.325,-3.325,1.165,4.744903433476395
FG-Ni1,Fluorographene_Nisheet,Ni,1,water,95,Top,2.07,-5.47,-3.51,1.96,0.316776,0.22625,-0.4624,5.8e-06,4.49,-4.49,0.98,10.285765306122451
BNNS_In,BN sheet,In,1,Air,115,Top,4.39,-5.89,-2.92,2.9699999999999998,0.068832,0.02136,-0.4685,8.39e-05,4.404999999999999,-4.404999999999999,1.4849999999999999,6.533341750841749
BNNS_Thallium,BN sheet,Thallium,1,Air,115,Top,2.36,-5.66,-2.39,3.27,0.193235,0.13048,-1.3383,43100000000.0,4.025,-4.025,1.635,4.954319571865444
BNNS_In,BN sheet,In,1,Water,115,Top,4.98,-5.62,-2.389,3.2310000000000003,0.05472,0.01639,-0.1362,2.01e-10,4.0045,-4.0045,1.6155000000000002,4.963175564840606
BNNS_Thallium,BN sheet,Thallium,1,Water,115,Top,2.3,-5.77,-1.73,4.039999999999999,0.369742,0.25048,-2.5,1.956e+30,3.75,-3.75,2.0199999999999996,3.480816831683169
BCNNS_In,BCNsheet,In,1,Water,115,Top,3.11,-2.69,-1.88,0.81,0.051049,-0.08022,-0.1409,4.17e-15,2.285,-2.285,0.405,6.445956790123457
BNCNC_In,BNCcage,In,1,Water,65,Top,3.68,-5.19,-4.16,1.0300000000000002,0.098221,0.08078,-0.1082,6.76e-11,4.675000000000001,-4.675000000000001,0.5150000000000001,21.219053398058254
BNCNC_Thallium,BNCcage,Thallium,1,Water,65,Top,4.75,-5.33,-4.05,1.2800000000000002,0.208019,0.23125,-0.1932,1.854e-09,4.6899999999999995,-4.6899999999999995,0.6400000000000001,17.184453124999994
BCNNS_In,BCNsheet,In,1,Air,115,Top,2.97,-2.214,-1.788,0.42599999999999993,0.063977,-0.07733,-0.4546,2.11e-20,2.001,-2.001,0.21299999999999997,9.39906338028169
BNCNC_In,BNCcage,In,1,Air,65,Top,3.68,-5.28,-4.54,0.7400000000000002,0.053297,0.08078,-0.3544,9.86e-07,4.91,-4.91,0.3700000000000001,32.578513513513506
BNCNC_Thallium,BNCcage,Thallium,1,Air,65,Top,4.75,-5.52,-4.22,1.2999999999999998,0.189019,0.22358,-0.4262,1.62e-05,4.869999999999999,-4.869999999999999,0.6499999999999999,18.243769230769228
